timestamp,ext_condition1,ext_condition2,ext_condition3,ext_condition4,condition,size,exchange,price
2018-01-04T09:30:00.041,32,62,255,255,62,2100,7,160.600
2018-01-04T09:30:00.041,32,255,255,66,66,2100,7,160.600
2018-01-04T09:30:00.189,32,95,1,255,1,2500,1,160.610
2018-01-04T09:30:00.19,32,95,255,255,95,1600,7,160.610
2018-01-04T09:30:00.265,32,108,255,255,108,800,7,160.610
2018-01-04T09:30:00.321,32,255,255,255,0,800,60,160.600
2018-01-04T09:30:00.321,32,255,255,255,0,800,63,160.600
2018-01-04T09:30:00.321,32,255,255,255,0,800,64,160.600
2018-01-04T09:30:00.328,32,255,255,255,0,1200,7,160.600
2018-01-04T09:30:00.436,32,62,255,45,62,141948,1,160.580
2018-01-04T09:30:00.436,32,255,255,66,66,141948,1,160.580
2018-01-04T09:30:00.54,32,95,255,255,95,600,17,160.590
2018-01-04T09:30:00.617,32,95,255,255,95,600,63,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,615,1,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,800,63,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,1600,60,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,800,60,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,900,60,160.580
2018-01-04T09:30:00.641,32,255,255,255,0,500,64,160.580
2018-01-04T09:30:00.693,32,255,255,255,0,1600,65,160.580
2018-01-04T09:30:00.693,32,255,255,255,0,800,63,160.580
2018-01-04T09:30:00.693,32,255,255,255,0,800,65,160.580
2018-01-04T09:30:00.693,32,255,255,255,0,1300,65,160.580
2018-01-04T09:30:00.693,32,255,255,255,0,800,64,160.580
2018-01-04T09:30:00.701,32,255,255,255,0,900,1,160.590
2018-01-04T09:30:00.761,32,255,255,255,0,800,65,160.580
2018-01-04T09:30:01.169,32,255,255,255,0,1200,60,160.580
2018-01-04T09:30:01.261,32,255,255,255,0,775,60,160.580
2018-01-04T09:30:01.341,32,255,255,255,0,800,60,160.570
2018-01-04T09:30:01.342,32,255,255,255,0,800,65,160.570
2018-01-04T09:30:01.343,32,95,255,255,95,1600,7,160.570
2018-01-04T09:30:01.343,32,95,255,255,95,1599,7,160.570
2018-01-04T09:30:01.362,32,95,255,255,95,3000,1,160.570
2018-01-04T09:30:01.364,32,108,255,255,108,1500,7,160.570
2018-01-04T09:30:01.48,32,96,255,4,96,12373,59,160.580
2018-01-04T09:30:01.503,32,255,255,255,0,1000,1,160.570
2018-01-04T09:30:01.569,32,255,255,255,0,900,7,160.570
2018-01-04T09:30:01.605,32,255,255,255,0,1837,1,160.590
2018-01-04T09:30:01.642,32,255,255,255,0,1900,1,160.570
2018-01-04T09:30:01.727,32,255,255,255,0,2901,1,160.570
2018-01-04T09:30:01.776,32,95,255,255,95,1201,1,160.570
2018-01-04T09:30:01.844,32,95,255,255,95,1799,1,160.570
2018-01-04T09:30:01.855,32,108,255,255,108,601,7,160.560
2018-01-04T09:30:02.164,32,255,255,255,0,800,63,160.560
2018-01-04T09:30:02.164,32,255,255,255,0,800,64,160.560
2018-01-04T09:30:02.17,32,255,255,255,0,1500,1,160.560
2018-01-04T09:30:02.279,32,108,255,255,108,999,7,160.560
2018-01-04T09:30:02.362,32,255,255,255,0,1000,1,160.560
2018-01-04T09:30:02.373,32,108,255,255,108,500,7,160.560
2018-01-04T09:30:02.418,32,255,255,255,0,636,1,160.560
2018-01-04T09:30:02.652,32,255,255,255,0,2500,1,160.550
2018-01-04T09:30:02.652,32,255,255,255,0,1600,9,160.550
2018-01-04T09:30:02.652,32,255,255,255,0,600,1,160.550
2018-01-04T09:30:02.652,32,255,255,255,0,600,9,160.550
2018-01-04T09:30:02.652,32,255,255,255,0,800,65,160.550
2018-01-04T09:30:02.653,32,255,255,255,0,800,60,160.550
2018-01-04T09:30:02.656,32,255,255,255,0,1300,65,160.550
2018-01-04T09:30:02.656,32,255,255,255,0,900,60,160.550
2018-01-04T09:30:02.661,32,95,255,255,95,700,7,160.560
2018-01-04T09:30:02.729,32,255,255,255,0,600,1,160.550
2018-01-04T09:30:02.729,32,255,255,255,0,600,1,160.550
2018-01-04T09:30:02.729,32,255,255,255,0,600,1,160.550
2018-01-04T09:30:02.768,32,95,255,255,95,500,7,160.550
2018-01-04T09:30:02.77,32,108,255,255,108,800,7,160.550
2018-01-04T09:30:02.772,32,255,255,255,0,900,60,160.550
2018-01-04T09:30:02.773,32,255,255,255,0,600,1,160.550
2018-01-04T09:30:02.773,32,255,255,255,0,800,1,160.550
2018-01-04T09:30:02.845,32,255,255,255,0,600,7,160.550
2018-01-04T09:30:02.996,32,95,255,255,95,600,1,160.550
2018-01-04T09:30:02.997,32,255,255,255,0,600,7,160.550
2018-01-04T09:30:03.051,32,255,255,255,0,1100,57,160.540
2018-01-04T09:30:03.345,32,95,255,255,95,2500,1,160.550
2018-01-04T09:30:03.345,32,95,255,255,95,2500,1,160.560
2018-01-04T09:30:03.346,32,95,255,255,95,800,60,160.550
2018-01-04T09:30:03.346,32,95,255,255,95,800,60,160.560
2018-01-04T09:30:03.346,32,95,255,255,95,500,65,160.560
2018-01-04T09:30:03.346,32,95,255,255,95,800,65,160.560
2018-01-04T09:30:03.346,32,95,255,255,95,1600,7,160.550
2018-01-04T09:30:03.346,32,95,255,255,95,1600,7,160.560
2018-01-04T09:30:03.35,32,255,255,255,0,700,7,160.550
2018-01-04T09:30:03.393,32,255,255,255,0,800,7,160.560
2018-01-04T09:30:03.605,32,95,255,255,95,600,7,160.550
